name,aadhar,password_hash,folder,embedding_pkl,voted
Teena,123456789012,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_123456789012,embeddings\Teena_123456789012.pkl,Yes
Teena,123456789012,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_123456789012,embeddings\Teena_123456789012.pkl,No
Teena,123456789012,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_123456789012,embeddings\Teena_123456789012.pkl,No
teena,1234,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\teena_1234,embeddings\teena_1234.pkl,Yes
tina,123456,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\tina_123456,,No
Alvira,23456,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Alvira_23456,,No
alvira,23445,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\alvira_23445,,No
Alvira,2345,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Alvira_2345,embeddings\Teena_2345.pkl,No
Teena,23456789,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_23456789,embeddings\Teena_23456789.pkl,Yes
Teena,2456,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_2456,,No
Teena,2456,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_2456,,No
Teena,2345,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,dataset\Teena_2345,embeddings\Teena_2345.pkl,No
Teena,23456789,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Teena_23456789,embeddings\Teena_23456789.pkl,No
Alvira Qureshi,9090909090,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Alvira Qureshi_9090909090,embeddings\Alvira Qureshi_9090909090.pkl,Yes
Shrawani,8080808080,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,dataset\Shrawani_8080808080,embeddings\Shrawani_8080808080.pkl,No
Yash,123456789,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,dataset\Yash_123456789,,No
